DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
2610,Secondary,24.624797,-82.89599,Not surveyed,453634,26,4,4,CONT_LR,24.624783,-82.896002,4,-9,220.480872,3038.214975,DRY TORT,2,D1,RU,DT03
2611,Secondary,24.625646,-82.934534,Not surveyed,458134,26,4,4,CONT_LR,24.625646,-82.934534,3.5,0.2847,220.478136,3038.139591,DRY TORT,2,D1,R3,DT02
2612,Secondary,24.627216,-82.881718,Not surveyed,461297,26,4,4,ISOL_MR,24.627219,-82.881718,3,0.2349,220.486561,3038.371764,DRY TORT,2,D1,R2,DT01
2613,Secondary,24.629523,-82.804217,Not surveyed,466044,26,4,4,SPGR_HR,24.629523,-82.804217,15.1,0.3659,220.498598,3038.703529,DRY TORT,2,D2,R3,DT05
2614,Secondary,24.632924,-82.858592,Not surveyed,479764,26,4,4,SPGR_HR,24.632924,-82.858592,11.5,0.2064,220.499067,3038.716455,DRY TORT,2,D1,R2,DT01
2615,Secondary,24.636401,-82.940626,Not surveyed,495030,26,4,4,CONT_LR,24.636401,-82.940626,15.5,0.2493,220.496292,3038.63999,DRY TORT,2,D2,R2,DT04
2616,Secondary,24.637018,-82.819142,Not surveyed,492184,26,4,4,ISOL_MR,24.637018,-82.819142,7.8,-9,220.510226,3039.024035,DRY TORT,2,D1,RU,DT03
2617,Secondary,24.63704,-82.817647,Not surveyed,492187,26,4,4,ISOL_MR,24.637036,-82.81766,11.4,-9,220.510295,3039.025945,DRY TORT,2,D1,RU,DT03
2618,Secondary,24.637674,-82.8394,Not surveyed,495235,26,4,4,CONT_LR,24.637674,-82.8394,8.8,0.2416,220.50926,3038.997396,DRY TORT,2,D1,R2,DT01
2619,Secondary,24.640145,-82.930312,Not surveyed,507447,26,4,4,CONT_LR,24.640145,-82.930312,8.5,0.3162,220.504066,3038.854256,DRY TORT,2,D1,R3,DT02
2620,Secondary,24.641585,-82.92339,Not surveyed,512119,26,4,4,ISOL_MR,24.641588,-82.92342,6.9,0.5,220.507314,3038.943787,DRY TORT,2,D1,R4,DT02
2621,Secondary,24.641887,-82.826105,Not surveyed,509208,26,4,4,ISOL_LR,24.641899,-82.826127,6.2,0.3299,220.517984,3039.237893,DRY TORT,2,D1,R3,DT02
2622,Secondary,24.642688,-82.943192,Not surveyed,516741,26,4,4,CONT_LR,24.642688,-82.943192,15.9,0.2653,220.507063,3038.936876,DRY TORT,2,D2,R3,DT05
2623,Secondary,24.646311,-82.871138,Not surveyed,526223,26,4,4,ISOL_MR,24.646311,-82.871138,5.7,0.3132,220.521062,3039.322735,DRY TORT,2,D1,R3,DT02
2624,Secondary,24.64766,-82.871674,Not surveyed,530896,26,4,4,ISOL_MR,24.647659,-82.871652,4.9,0.25,220.523377,3039.38655,DRY TORT,2,D1,R2,DT01
2625,Secondary,24.653069,-82.832289,Not surveyed,548154,26,4,4,ISOL_MR,24.65311,-82.832217,6.2,-9,220.536932,3039.760198,DRY TORT,2,D1,RU,DT03
2626,Secondary,24.656424,-82.781881,Not surveyed,557652,26,4,4,SPGR_HR,24.656424,-82.781881,13.6,0.251,220.547771,3040.059031,DRY TORT,2,D2,R2,DT04
2627,Secondary,24.657276,-82.932057,Not surveyed,566764,26,4,4,CONT_LR,24.657276,-82.932057,14.7,0.2485,220.533838,3039.674914,DRY TORT,2,D2,R2,DT04
2628,Secondary,24.661954,-82.927247,Not surveyed,581686,26,4,4,CONT_MR,24.661853,-82.927188,17,0.5,220.542234,3039.906376,DRY TORT,2,D2,R4,DT05
2629,Secondary,24.668623,-82.781067,Not surveyed,594572,26,4,4,ISOL_LR,24.668623,-82.781067,12.5,0.2339,220.569175,3040.649118,DRY TORT,2,D2,R2,DT04
2630,Secondary,24.676209,-82.898755,Not surveyed,609250,26,4,4,CONT_LR,24.676209,-82.898755,5.4,0.3574,220.570424,3040.683562,DRY TORT,2,D1,R3,DT02
2631,Secondary,24.680039,-82.917627,Not surveyed,615510,26,4,4,ISOL_LR,24.680032,-82.917587,17.9,0.1964,220.575052,3040.811163,DRY TORT,2,D2,R2,DT04
2632,Secondary,24.680811,-82.816362,Not surveyed,615017,26,4,4,ISOL_MR,24.68084,-82.816319,5.6,-9,220.587037,3041.141643,DRY TORT,2,D1,RU,DT03
2633,Secondary,24.681304,-82.813785,Not surveyed,615720,26,4,4,ISOL_MR,24.681321,-82.813855,3.8,0.2417,220.588086,3041.17054,DRY TORT,2,D1,R2,DT01
2634,Secondary,24.681755,-82.815344,Not surveyed,616415,26,4,4,ISOL_MR,24.681755,-82.815344,4.1,-9,220.588819,3041.19076,DRY TORT,2,D1,RU,DT03
2635,Secondary,24.685881,-82.919158,Not surveyed,624613,26,4,4,CONT_LR,24.685881,-82.919158,15.8,0.255,220.585098,3041.088172,DRY TORT,2,D2,R2,DT04
2636,Secondary,24.686883,-82.911266,Not surveyed,626029,26,4,4,CONT_LR,24.686884,-82.911269,13,0.2931,220.587722,3041.160518,DRY TORT,2,D2,R3,DT05
2637,Secondary,24.687438,-82.793192,Not surveyed,624868,26,4,4,CONT_LR,24.687438,-82.793192,3.3,0.2563,220.600858,3041.522743,DRY TORT,2,D1,R2,DT01
